gene	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl-4	XM1845_OE-1	XM1845_OE-2	XM1845_OE-3	XM1845_OE-4
ARF5	77.622787	74.383804	74.287628	67.768753	61.172081	67.923668	64.038338	64.444397
SARM1	2.887205	2.040708	1.721508	1.116382	2.040466	1.661933	1.61778	2.272607
POLDIP2	99.561523	101.541252	100.194748	107.197762	102.794312	103.346207	101.812325	103.374809
PLXND1	62.28817	68.970367	58.769978	57.324142	56.334122	70.473717	55.450493	67.743225
AK2	162.927032	109.270584	111.451477	117.393692	141.9552	139.815216	104.938805	112.886894
CD38	0.012881	0	0	0	0	0.024669	0	0
FKBP4	132.080353	98.580727	93.766518	92.887909	103.408829	108.72963	97.409546	94.017654
KDM1A	87.792427	88.532166	86.973602	87.900139	85.823326	80.688042	81.479843	83.754311
RBM6	36.040737	32.422569	26.048296	25.335979	28.155977	26.510677	26.101597	25.474739
CAMKK1	12.378927	10.225221	9.277773	8.330062	9.342576	9.299849	10.531786	10.247029
RECQL	15.11156	16.050266	13.521635	14.116831	15.63195	14.456619	13.582439	14.878069
VPS50	11.882844	11.559795	14.315799	15.441504	13.943875	10.409053	13.958505	14.64122
HSPB6	0.397672	0.62154	0.389332	0.45318	0.216109	0.267033	0.280911	0.249117
ARHGAP33	5.150411	2.639945	1.946504	2.34439	1.588125	3.741342	2.488276	3.273451
NDUFAB1	67.062042	59.598583	49.553841	61.883595	64.186577	55.168247	65.176392	58.092731
PDK4	73.789101	79.504173	79.415253	82.813126	89.324631	86.366577	81.068626	84.186234
ZMYND10	0.712177	0.514091	0.560615	0.707549	0.707823	0.515388	0.639864	0.477205
ARX	0.058771	0.06033	0.07692	0	0	0	0.059364	0.040238
SLC25A13	41.168453	41.459461	38.449112	48.671829	41.051872	40.947536	42.943001	37.127865
ST7	18.069654	19.29335	24.171032	23.047741	22.090691	22.23513	23.002642	26.264803
CDC27	35.280895	36.625816	32.839581	35.988037	37.997124	29.695086	38.846024	35.88522
SLC4A1	0.014117	0	0	0	0.013953	0	0	0
CALCR	0.031606	0	0.059853	0	0	0	0	0
HCCS	25.980434	22.543148	23.030556	26.356684	26.62059	24.056198	29.330765	27.263992
DVL2	47.579205	46.42498	40.662205	36.108269	47.100109	48.268684	41.88662	42.470131
PRSS22	0.29756	0	0	0	0.083602	0	0	0
UPF1	48.87075	39.231403	36.358833	28.19602	44.838558	46.450558	43.41341	47.808865
SKAP2	5.452102	6.082511	6.955336	6.732115	6.1504	6.350238	5.669994	6.16015
SLC25A5	345.950073	360.501251	308.697083	359.055969	334.335083	345.137512	350.960114	352.144379
MCUB	3.766771	4.266285	4.458225	3.727406	4.629779	3.754914	3.6542	3.989496
HOXA11	16.483871	16.189066	15.746594	14.403057	17.933685	17.505796	17.918333	16.684671
POLR2J	55.035831	48.364735	55.200287	46.503124	50.020382	49.818699	49.356606	52.072475
DHX33	18.060402	19.199022	22.660494	19.685865	21.864439	22.05831	23.941051	19.57449
MEOX1	4.779469	4.211405	4.241013	2.94877	4.36888	4.327168	6.225472	4.689995
LIG3	11.232833	14.774207	22.323282	13.578232	16.995312	17.759048	23.014551	15.660459
RPAP3	31.143814	31.81736	43.718208	38.563137	36.724762	36.918694	36.229591	34.541222
ACSM3	0.485978	0.475479	0.664677	0.442716	0.761592	0.941172	0.297866	0.409635
REXO5	7.396247	5.48866	7.545223	7.066705	6.614637	8.74452	7.479509	7.917716
CIAPIN1	26.599508	30.460497	28.530172	34.676842	34.518635	24.928741	31.517324	29.465984
SPPL2B	20.630129	20.351875	16.396088	12.591737	17.3004	20.875114	16.557932	18.573895
FAM214B	4.887779	4.913512	2.375917	3.86901	4.057578	2.684901	3.241829	1.821902
COPZ2	4.13337	4.944637	3.517916	4.746609	3.847065	2.040252	5.18231	4.398873
PRKAR2B	0.061449	0	0	0	0.033631	0.037336	0	0
MSL3	19.225632	15.272305	16.016903	23.478909	16.108171	17.683857	13.52539	17.9195
CREBBP	29.026695	38.096523	26.581167	25.114874	35.99263	32.975201	31.486351	43.180862
TSPOAP1	0	0	0	0.014452	0	0	0	0
GCFC2	9.809581	7.836321	10.064563	10.784449	9.043544	9.401459	8.648296	10.258084
WDR54	14.517678	12.19037	10.392295	10.652478	11.809282	11.265758	14.624652	10.866501
CROT	3.214808	4.239026	4.547033	5.988584	3.352173	2.63528	5.92996	6.09539
ABCB4	0	0	0	0	0.167777	0	0	0
KMT2E	25.086252	28.29501	33.588871	31.487522	28.134918	34.266079	29.381058	29.04133
RHBDD2	18.453964	22.306293	28.168856	27.03713	20.834501	20.738945	18.84635	29.848028
SOX8	0	0	0	0.02896	0	0	0	0
IBTK	14.72664	17.489576	18.431362	19.903011	17.354927	15.310122	16.589842	16.488043
ZNF195	26.735279	32.935547	34.364388	36.091938	29.936893	29.329882	32.691227	21.837976
MYCBP2	17.729002	41.581017	43.637867	21.878736	42.040218	22.408009	32.551807	34.304329
FBXL3	12.891065	12.582051	12.131578	14.622266	13.409275	10.957136	13.12156	11.063805
PDK2	15.70366	12.348187	15.799051	9.20807	17.020029	14.42837	16.573072	12.23752
ITGA3	29.442331	44.230911	35.84309	33.132153	37.688732	30.609779	36.228695	37.030094
ZFX	14.014193	9.640565	8.781507	9.369035	10.736777	11.856996	10.24527	9.476668
LAMP2	39.339943	37.475811	33.913628	48.848392	37.981747	35.595131	39.106831	38.638191
ITGA2B	0.895293	0.465774	0.376004	0.403448	0.316515	0.37234	0.18357	1.025381
GDE1	47.276611	37.583565	43.047699	35.942711	34.56097	50.953758	41.783943	43.288189
C19orf60	16.464678	14.947752	13.779269	7.050899	12.09091	12.880691	14.351893	12.081983
CRLF1	23.237511	24.108656	24.725508	17.187641	25.72971	24.022738	24.882484	19.863144
OSBPL7	13.318935	15.03555	9.281776	10.135262	7.238235	11.673183	7.133401	9.064821
YBX2	5.646131	5.285019	7.992907	2.420367	7.203688	6.312152	5.154018	5.18929
MAP3K14	9.789169	10.184068	6.799935	7.108166	8.217059	9.038737	8.942737	10.274925
CACNG3	0.264803	0.11313	0.119399	0.097369	0.101559	0.113201	0	0.056213
TMEM132A	39.784649	29.425241	28.18619	23.541239	27.019787	27.700222	33.162785	31.54697
AP2B1	69.913971	70.655357	67.474937	72.402077	76.80722	62.575317	65.383072	72.526176
ZNF263	10.123793	6.261476	8.201399	7.227282	7.2569	7.872266	9.006576	7.654122
CX3CL1	0	0	0	0.02075	0	0	0	0
SPATA20	13.395264	14.587451	14.974873	11.355659	12.586612	11.243873	12.809042	13.839272
CACNA1G	0.531568	0.244259	0.227669	0.146734	0.212459	0.22699	0.190294	0.113761
TNFRSF12A	80.217834	62.227371	51.679028	42.946129	70.244499	72.2425	54.929897	59.379761
MAP3K9	5.37596	4.595097	4.793526	3.995852	5.469801	5.243926	6.14696	7.950502
RALA	49.819237	48.276005	47.943886	48.473125	46.008034	46.644024	42.848457	41.339561
BAIAP2L1	28.566828	28.231981	30.415434	28.348576	26.838783	28.469946	26.426615	29.100224
KDM7A	3.47104	4.386429	3.214334	3.488665	3.444632	3.299227	2.647879	3.896957
ETV1	5.848488	3.185661	3.098545	3.314659	3.877752	5.042346	4.556057	6.09549
AGK	9.086185	10.938602	9.696645	10.185116	9.389644	7.475759	10.140107	12.297764
ALDH3B1	19.974808	19.75392	19.815924	18.267853	22.855885	18.906605	20.107496	12.405721
PHTF2	12.223166	11.351864	14.380682	16.636074	15.50159	10.660095	10.523356	11.506021
CCL26	0	0.33129	0.711368	0	0.358317	1.196218	0	0.99003
FARP2	13.587307	12.963059	14.787218	13.364063	13.172827	13.793151	13.736717	15.292665
USH1C	60.024223	52.909767	57.016068	56.915989	67.939613	76.174759	76.277603	61.615463
GGCT	66.377861	71.92852	72.664062	76.653923	65.650337	63.593929	68.826927	63.409302
DBF4	13.926865	14.142999	23.128494	17.011892	18.204241	13.384643	15.69245	14.024733
TBXA2R	10.580463	7.294844	8.38494	4.707833	12.399256	6.240683	11.054135	7.984724
IFRD1	103.930275	118.465828	121.17955	123.008575	110.927994	97.637764	83.000511	77.217033
COX10	12.249248	13.182826	12.506136	9.556786	12.224698	10.786784	11.042106	10.73175
GTF2IRD1	33.294525	27.738268	38.377338	30.355721	31.098967	29.331751	31.254751	27.993256
PAF1	41.854061	38.831654	40.375629	32.458939	42.069576	43.060814	39.645126	39.365643
VPS41	10.282272	13.485138	9.825522	13.427357	9.993237	13.155635	9.059023	10.335075
ARHGAP44	4.07371	3.831817	3.363416	2.87253	3.339061	3.400351	2.687517	4.672637
ELAC2	62.259373	59.571529	56.96645	51.11845	66.887474	66.797195	68.078094	68.261742
SCIN	2.13993	1.691702	2.368296	2.144569	1.442319	1.334617	3.127063	1.576643
ARSD	0.604435	0.589065	0.614336	0.602761	0.523421	1.529663	0.718959	0.858982
PNPLA4	8.458457	3.457585	3.874556	10.568721	12.623726	4.077474	12.006143	3.950112
MYH13	0	0.019194	0.024309	0	0	0	0	0
ADIPOR2	32.782051	31.218359	30.015699	33.884892	30.698078	31.717081	31.106089	28.86771
CDKL3	0	0.404172	0.477211	0.757897	0	0.490154	1.045897	0.771885
PRSS21	91.474358	68.337219	78.661125	83.569016	70.722679	83.87516	84.298424	86.275444
MARK4	8.313114	8.029855	7.581613	4.117857	7.299892	8.083472	6.777815	7.207171
CCDC124	96.188545	75.596077	75.929108	53.126545	84.696976	93.759918	89.197868	77.469406
PAFAH1B1	32.357498	33.116116	32.292038	36.984791	32.02108	33.21814	36.075039	34.008671
KIAA0100	77.925438	83.193703	85.768448	84.753944	81.45713	62.250092	81.506157	86.161293
SLC13A2	0.040916	0	0.077485	0	0.044115	0.097951	0	0
GAS7	1.161143	0.928457	1.033164	1.620681	2.735622	0.703561	2.755745	1.635126
TRAPPC6A	5.109395	5.553862	3.225892	3.119366	4.133719	4.981769	4.012992	4.533947
MATK	31.695353	28.767443	31.285082	27.131905	27.729322	30.787609	36.062477	36.374981
CEACAM7	0	0.093571	0.057475	0	0.050602	0	0	0.046494
SCN4A	0.121331	0.055563	0.111309	0.535708	0.040343	0.037788	0.022473	0.02224
ST7L	9.936847	8.812142	11.212604	10.365654	12.197078	12.494682	11.397302	10.49593
PAX6	3.41118	4.923945	7.150541	2.420569	3.660328	3.429466	5.03834	2.23949
RPUSD1	40.603962	42.623783	35.494484	30.838877	44.234154	50.413029	50.32967	50.761105
RHBDF1	16.445824	8.418261	12.14887	6.278848	10.744458	7.85477	9.620366	10.168121
LUC7L	23.978302	30.762112	25.962978	21.599379	27.393589	31.612183	21.157606	32.573288
CACNA2D2	0.036905	0.04168	0.044437	0.013837	0.103381	0.035485	0.036304	0.051142
BAIAP3	0.257728	0.475886	0.206571	0.100911	0.418892	0.063533	0.267109	0.309768
TSR3	75.34774	74.886124	57.107121	47.70776	73.338303	76.690094	76.279846	74.069366
PIGQ	44.616657	40.863026	34.379688	27.682314	44.510677	39.461918	42.552391	45.52737
CRAMP1	11.212481	8.028852	7.718065	9.839743	8.849166	8.395084	9.527738	10.452757
TEAD3	18.315176	15.962547	15.988252	15.702524	18.337185	18.040644	16.354828	15.869534
DNAJC11	40.249165	41.37727	37.039574	39.134842	50.205566	50.536083	49.643517	42.37999
MYLIP	0.649547	0.990152	0.60714	0.739517	0.533156	0.853893	0.876414	0.76665
NOX1	0	0	0	0.120003	0.203544	0	0	0
E2F2	10.55723	12.579735	9.711666	9.228816	9.038932	9.578705	8.728203	13.776146
PSMB1	103.824173	90.116692	69.548088	94.820824	84.446915	83.045486	87.922615	90.160423
SYN1	0.053114	0.035298	0	0	0	0.10596	0	0.035078
JARID2	8.629154	8.116366	8.242664	7.753078	8.050743	8.56847	7.774053	8.011715
CDKL5	2.744535	2.872913	3.862578	3.202424	2.834439	3.44137	2.880306	4.260916
CAMK1G	0	0	0	0.046045	0	0	0	0
CDK11A	26.249388	21.20533	23.35248	13.453299	21.576324	21.245913	20.959953	22.817337
NADK	44.966911	52.561806	38.607956	38.374851	46.043056	39.777233	54.308609	48.329174
CYTH3	16.798012	20.615526	15.562765	15.309415	20.921251	20.74617	19.61475	18.54908
ADAM22	3.039485	2.069247	1.554901	2.11118	1.997182	2.009438	1.51587	2.542789
SYPL1	27.508032	33.519184	29.705936	34.278805	33.227184	30.723099	28.136484	32.724903
CYB561	22.08437	13.372116	18.82086	14.466545	18.983917	22.13623	24.072336	13.379746
SPAG9	29.222059	21.490477	22.124121	23.774775	28.221489	20.482121	22.894678	25.290499
CELSR3	13.696247	12.790728	15.291417	9.519022	13.333549	14.434813	15.871666	12.237129
AASS	0.527051	0.124891	0.209455	0.280785	0.161555	0.168876	0.343751	0.460646
PLEKHG6	0.425087	0.405525	0.142218	0.218823	0.844961	0.132589	0.121172	0.204218
SS18L2	18.129097	16.934059	17.549032	16.95204	13.661408	16.118216	17.820559	16.888161
MPND	8.38078	7.746716	7.636714	6.09857	6.923604	8.765862	8.008526	6.750924
MGST1	53.340591	50.831966	57.680664	71.645256	56.367771	89.954857	57.239708	63.83466
CRY1	10.079352	11.681811	10.803451	10.356848	11.441326	10.177075	11.011037	10.590477
PGLYRP1	0.136067	0.204603	0.478791	0	0	0.516328	0	0.277911
NFIX	8.362218	8.297128	7.888504	5.952874	6.518252	7.041271	6.779858	8.061874
ST3GAL1	15.439018	14.451077	14.365173	16.553246	15.593391	14.342528	17.304268	13.581524
MMP25	2.276166	2.45017	2.167691	1.547528	1.304949	1.719531	2.380318	1.999056
IL32	142.128677	103.306595	117.670692	98.414452	122.335548	105.371399	122.045715	97.515289
PKD1	36.651543	37.645962	34.995632	37.457901	31.747143	26.188467	31.698956	29.119617
MAPK8IP2	0.550393	0.353756	0.158127	0.193429	0.325899	0.299588	0.19852	0.369598
MED24	40.458515	41.875919	39.822945	26.359592	51.727585	46.829021	31.158066	38.411209
RHOBTB2	12.222559	10.36285	9.766183	8.742652	9.668592	10.774523	10.22014	10.396992
HEATR5B	9.969524	7.862172	10.378551	9.978243	9.553822	7.888741	9.448062	7.225244
SEC62	19.299294	21.839327	21.830479	24.681288	23.518349	24.210371	20.539669	22.667091
RPS20	327.55188	302.188141	303.657593	291.522827	296.794678	318.350128	284.075989	242.185196
CSDE1	231.915558	277.214203	308.517487	279.388824	239.728653	188.968185	288.667938	208.849655
UBE3C	24.319208	25.237432	22.114491	24.665243	24.710762	25.45628	24.574558	25.588438
REV3L	6.817344	8.994134	7.269266	7.846673	7.189854	6.442812	7.564952	9.520154
MASP2	0.731795	0.487305	0.67007	0.684627	1.07996	0.886349	0.675774	0.798104
FAM76A	2.694141	3.698233	3.555693	5.515283	3.497017	1.724647	3.484509	2.372581
TRAF3IP3	0	0	0	0.036424	0	0	0	0
POMT2	22.121489	17.25988	16.11787	28.451183	18.109015	18.478745	26.011494	18.031784
VTA1	6.719946	15.253968	9.517205	10.783366	7.127292	16.265141	7.085333	9.276896
MLXIPL	5.829679	4.606212	3.398519	2.225728	2.144138	3.027323	3.189197	3.282082
BAZ1B	64.59185	63.04031	64.855789	65.335289	67.420784	63.165627	63.402512	65.131866
RANBP9	22.273878	22.368231	25.853943	26.552002	25.25259	22.47628	24.484447	24.040726
SPRTN	9.061613	8.15085	9.775655	10.775286	10.700665	12.281569	10.847756	9.12956
METTL13	22.942526	17.618959	16.335785	17.817074	18.630274	21.050404	19.054398	21.281599
DYRK4	2.493659	2.382267	2.070876	2.462452	2.393515	3.326612	3.03661	1.881955
ZNF207	65.798225	95.024452	70.633163	87.368851	69.004219	78.321968	67.159531	89.011459
UQCRC1	148.736023	117.959854	135.604568	102.207397	133.673874	143.617416	140.429749	128.147873
STARD3NL	26.55971	21.143679	21.472277	23.862728	19.063236	21.581726	21.771837	20.340853
CD9	97.828918	91.986809	79.106514	85.202278	83.221718	83.529335	79.133667	89.234306
NCAPD2	169.979065	180.574402	164.247131	151.756927	177.766754	173.421387	146.377502	193.553177
IFFO1	0.056505	0.058206	0.168834	0.19086	0	0	0.103434	0.055977
GIPR	3.346908	2.289699	1.747289	1.216756	0.876564	2.100955	2.084505	2.341191
PHF7	0.628735	0.462866	0.383032	0.276582	0.428972	0.291702	1.465663	0.26207
SEMA3G	0.27672	0.201806	0.269733	0.147299	0.089981	0.171249	0.213875	0.117164
NISCH	18.821243	18.576958	18.86249	14.54213	18.074764	18.210711	18.93601	17.647047
STAB1	0.549905	0.560724	0.25447	0.33306	0.419268	0.304572	0.368467	0.217346
FUZ	0.457857	0	0	0.104317	0.12447	0	0	0.155932
SLC6A13	0	0	0	0.160612	0.168746	0	0	0.104056
IDS	5.860199	5.883162	5.439003	7.032472	6.56573	6.259418	6.334819	5.813351
ZNF200	5.01471	8.839315	5.585811	8.274267	6.989181	8.001305	7.225094	6.378888
CD4	0	0	0	0	0	0	0.036802	0
LRRC23	11.068698	12.525988	11.940614	10.735909	10.399937	9.280128	9.746681	8.577734
BTK	0	0.232984	0	0	0.042503	0.254488	0	0
HFE	10.489115	6.64468	5.234062	5.222573	5.613676	9.382309	4.570983	7.600274
SCMH1	14.939767	14.45314	20.884663	16.764124	16.756449	20.458866	14.043843	16.743557
FYN	23.480379	20.572514	19.948534	19.205685	17.367628	34.144279	22.180355	22.076698
HIVEP2	1.478729	1.45932	1.39145	1.406507	1.358792	1.320194	1.487544	1.559616
ELOA	18.805603	19.233192	16.825756	15.923516	19.212502	22.380787	16.427055	18.488129
LYPLA2	50.905003	49.307652	40.769623	43.529865	38.955471	39.029827	36.158604	46.974758
CLCN6	7.75992	5.90618	5.116117	6.230302	7.192308	7.305517	7.224423	6.765532
MRC2	48.960838	50.969166	43.742512	30.502012	33.467438	39.923191	42.880264	34.339767
NME1-NME2	235.207596	255.929337	215.386642	247.733994	227.221664	226.164536	213.398575	212.601364
SLC6A7	0.203077	0.201504	0.274135	0.192998	0.148438	0.126663	0.156378	0.139277
TSPAN9	7.70854	8.027466	7.300238	6.588929	5.540678	6.9912	7.161419	9.46755
BTBD7	7.116138	11.300586	7.539845	8.126852	6.870077	7.006487	7.137428	8.240171
APBA3	12.062298	12.257049	9.441677	6.75336	9.868783	10.944125	10.943151	11.573524
MKS1	10.450228	9.598916	9.34454	11.05307	6.594778	7.011903	10.395326	9.893752
ABHD5	9.417715	10.005641	7.634942	13.793042	9.957	7.360307	6.892219	10.170904
ANOS1	1.642293	1.719525	1.900966	2.122302	3.354236	2.149314	2.907948	2.935183
AKAP8L	31.185431	30.401941	37.009651	19.969023	35.070171	26.856707	31.87985	31.352819
MBTD1	6.037542	6.416437	6.273248	6.483491	5.033335	4.534276	5.163966	5.209685
UTP18	29.896034	36.822144	28.797203	30.792278	37.351318	27.828691	27.397593	35.285393
RNF216	20.790976	19.732622	20.134336	19.157566	19.447662	25.975983	21.311592	21.492105
TTC19	12.791175	8.081472	11.472367	10.448755	10.958174	10.432169	10.669456	13.147796
PTBP1	212.297668	205.765656	207.039459	182.108871	233.08255	220.254684	222.071915	223.218994
DPF1	4.589663	4.872994	2.736147	2.831653	3.551342	3.454421	4.99821	4.497063
SYT7	3.552058	3.507775	4.184518	2.418607	2.442947	2.746519	2.63252	2.428807
LARS2	16.853981	13.312769	16.067787	13.305231	12.607848	18.553846	14.296484	18.665741
PIK3C2A	13.922941	16.578535	19.516092	19.431742	17.391146	17.214554	16.796253	18.604706
PLAUR	16.120319	16.361326	19.276691	15.717943	16.308914	18.582584	15.827048	17.567869
ANLN	149.859634	157.941772	172.378281	177.840363	158.298615	154.794159	159.738953	175.775787
WIZ	21.443523	26.418587	22.345949	19.487589	22.863527	27.852245	26.772989	25.374153
RABGAP1	30.877851	33.885727	23.78928	25.370571	25.678747	32.875553	21.33527	21.780247
DCN	5.993029	6.420681	7.049655	5.396205	7.033261	9.066946	3.298886	2.44273
QPCTL	21.083424	17.101879	18.726646	16.185543	16.381485	19.896681	19.601921	18.951944
PPP5C	41.355217	31.615761	40.121632	38.673805	34.260555	31.478285	35.455128	34.973751
CEP68	4.01	4.072777	4.164617	5.594553	3.116712	5.003179	3.795041	4.067665
MAP4K3	12.832916	9.260812	14.820763	10.015003	9.577029	7.475282	10.527486	10.607087
ZBTB32	0.084731	0.080162	0.106973	0.281166	0	0	0.056547	0.136369
TMEM159	5.247479	5.098961	2.746947	6.058796	4.896517	3.799361	4.066613	3.934889
GABRA3	4.56004	4.138901	5.126627	5.934627	4.207643	4.148029	3.785398	4.49364
BRCA1	28.956961	21.767544	24.911665	19.562176	19.910904	21.053467	17.967554	24.727442
ERCC1	37.418556	36.062698	30.421541	29.516626	35.294861	33.899143	31.579565	37.218182
CD22	0.414214	0.827151	0.468296	0.536304	0.421335	0.543434	0.208333	0.194762
SEMA3B	56.675205	55.31731	51.288132	39.778854	56.871616	54.352043	56.32024	57.846531
MBTPS2	11.041299	12.890749	10.04191	14.06476	10.59564	11.270922	12.093466	11.748142
PRICKLE3	17.48559	15.307312	16.878326	12.773652	18.249229	21.295225	16.272318	15.797988
EXTL3	9.521243	9.310009	7.539012	10.944179	11.467578	11.447881	8.236686	8.514256
NR1H4	0	0.040377	0	0	0	0	0	0
ELOVL5	75.007256	76.138992	72.834824	80.015923	77.658218	73.116844	77.754517	85.829704
ALOX5	0	0	0.122086	0.071029	0	0	0	0
CALCOCO1	12.639243	11.210907	11.995646	8.822536	10.344554	10.75202	9.923573	9.181678
UBR7	14.199409	15.327421	14.599887	16.036257	14.14989	12.51578	13.655841	15.134608
MAP4K5	23.621002	27.969122	35.639088	26.352081	36.542725	24.007849	25.831594	31.029736
PSMC4	71.28286	87.554657	81.186783	78.523125	87.671364	93.27433	80.154533	85.686531
MAN2B2	4.852437	5.702792	4.944524	5.032927	5.279709	5.572742	5.228515	5.871768
SLC7A14	0	0.008459	0	0	0	0	0	0
CLDN11	0.491691	0.401371	0.357271	0.402421	0.311532	0.19146	0.242301	0.373473
SLC25A39	185.445038	198.299026	150.873749	156.356277	183.04425	211.852768	197.644196	162.441498
MVP	42.655308	32.394051	29.228437	16.674404	21.997011	25.999897	30.786148	27.348602
NUB1	51.451412	55.26165	65.73127	49.628151	51.575966	49.930668	57.379864	43.356987
PGM3	8.023793	8.251609	10.13166	8.455068	8.015282	9.208676	7.432344	8.352372
RWDD2A	0.715125	0.927793	0.66965	0.9251	0.8411	0.709954	0.870484	0.889254
CLK1	15.260397	17.404333	16.799988	15.135028	12.420364	10.824963	13.120449	11.077434
POLR3B	7.663444	7.737292	8.103986	8.713309	8.229105	7.725791	9.178285	8.858383
ANGEL1	6.378078	7.711191	6.440346	6.063834	5.130601	4.975574	6.490707	6.022896
RNF14	14.53994	14.842482	12.30885	17.78348	10.028411	12.285291	9.425677	11.68962
DNASE1L1	15.707006	14.652596	13.326634	10.266137	12.908779	14.928141	13.944787	13.811534
DDX11	33.694134	30.963505	30.140789	27.968004	27.464876	26.622417	30.319719	30.263443
HEBP1	19.894983	20.978518	21.444489	21.38472	18.484594	20.668493	20.920973	20.379272
GPRC5A	34.653427	28.39719	26.905144	28.415276	28.504393	32.156788	39.341591	37.363285
MAMLD1	6.478322	6.291691	8.837563	7.653593	9.586669	8.257493	7.870635	8.121078
CD6	0	0	0	0	0	0.156223	0	0
TACC3	59.62011	49.113575	46.95319	41.659172	57.397346	54.841885	49.940617	45.886337
UFL1	6.786286	7.905591	8.512537	8.496069	7.489791	7.135051	7.048306	6.924843
POLA2	35.559593	32.749367	38.390614	33.743114	32.637432	34.8041	31.594206	36.127403
ZC3H3	11.929442	13.444538	11.906513	10.81673	13.578844	14.373249	12.540745	11.925653
CAPN1	48.793434	50.256481	43.048222	31.318401	39.278099	45.671925	42.233616	49.910671
MDH1	120.937996	108.590012	116.077515	126.982506	116.460785	113.101967	94.920105	111.215042
SLC30A9	8.269644	7.740458	8.315584	10.376716	9.706168	7.563722	9.237848	9.003626
MTMR11	9.393377	7.848809	9.750141	5.600355	6.632035	9.074274	6.646504	5.334945
COX15	35.599579	35.558514	32.844555	37.111317	32.989353	32.858185	32.665249	32.982883
CCDC88C	7.334923	8.384388	7.268402	7.794658	8.948962	7.180652	6.894631	5.388827
YAF2	12.333367	12.257659	12.476562	23.588654	11.23372	17.569445	11.567531	11.866513
ZMYND11	10.243321	8.894554	8.31029	9.228803	12.141568	9.686209	7.978438	11.002865
DPEP1	0.388013	0.46992	0.127578	0	0.459212	0	0.428952	0.290027
BID	23.694506	20.304392	31.122938	21.733538	24.343731	30.381727	24.102053	20.932419
MATR3	173.317566	141.046036	183.590179	160.187256	128.477478	148.044846	142.213928	149.134949
