gene	Sham-1	Sham-2	12-HETE-1	12-HETE-2
Chmp1a	23.374035	23.000441	65.439133	61.296844
Rpa1	4.72659	3.716295	16.505985	16.245352
Serpinf1	315.089142	244.571732	175.414932	107.648079
Tubgcp3	6.995956	1.338048	7.987377	7.998306
Polr3d	8.05753	9.172158	19.614658	19.711161
Tcf7	0.838041	0.327586	6.612128	6.409707
Ddx3x	63.720119	66.140602	79.827614	82.263664
Il12rb1	0.677446	1.084701	4.277365	5.49058
Slc5a5	0	0	0.018908	0.075267
Kcnn3	0	0	0.013274	0
Usp32	4.342742	5.066724	4.752906	5.815779
Txnrd3	1.020018	1.069617	12.514546	11.57315
Zfp512b	5.41119	3.070548	10.968633	8.727248
Dnajc5	11.211798	9.234016	27.44606	29.252338
Tpd52l2	14.042773	15.486917	41.974579	37.790512
Fmr1	7.406144	8.35522	10.306499	10.319614
Il4	0	0	0.161899	0.143529
Pxmp4	39.317631	37.808071	1.800656	2.076731
Dlg3	3.825982	2.708728	2.86402	3.159631
Gnb1l	0.194568	0	2.169708	1.939362
Mmp11	3.19507	1.635965	0.67608	0.492811
Smarcb1	7.89706	7.43597	16.302393	15.440096
Vpreb3	0	0	0.075943	0
Hip1r	12.447994	7.599431	21.02965	26.982571
Nsun5	4.469574	4.763625	18.364374	17.297981
Top1mt	7.344521	6.747216	13.710041	13.768623
Hoxa4	0	0.183984	0.068421	0
Gm38393	0.136071	0.467386	0.300178	0.388977
Mmp14	8.424781	8.912685	19.011234	18.651777
Slc7a7	0.83341	0.488593	4.359051	4.400831
Oxa1l	14.513975	12.190834	25.992014	21.145849
Heatr6	4.320586	3.322944	5.05793	5.689422
Ccl3	0	0.528373	0.745152	1.273877
Icam4	0	0	0.114032	0.112324
Ilf2	5.67445	5.109965	14.464331	14.697975
Chtop	13.647599	14.046661	30.032351	24.140694
Snapin	5.536943	5.884933	6.560129	8.602923
S100a4	0.766459	0.609538	7.99199	11.278664
S100a3	0	0	4.737334	5.497451
S100a6	3.69225	3.814158	24.232862	33.4804
Scn4a	0	0	0.008565	0
Icam2	1.855033	1.442494	0.244853	0.575592
Mapk7	0.519415	0.262628	10.497503	12.159976
Epn2	0.998809	1.134389	9.528455	12.674654
B9d1	0	0	3.114067	2.503246
Sec24b	4.032737	6.718445	22.851332	26.327913
N4bp3	0.915297	0.212865	6.52748	6.936185
Rmnd5b	9.786269	7.106423	9.372157	10.514476
Nhp2	23.342804	22.213469	166.242676	162.799011
Vps9d1	5.858839	6.975524	3.754029	5.459435
Zfp276	12.026247	8.123788	4.59853	4.060328
C1ql4	0	0	0.313361	0.137815
Mfsd10	2.272195	2.526652	14.892948	16.166384
Luzp1	2.094943	1.964312	3.930873	7.428806
Slc13a2	0.124682	0	0.169239	0
Kctd10	6.071991	5.240757	22.750187	21.491697
Poldip2	35.857933	35.175995	47.765575	43.757168
Sebox	1.627861	1.606423	0	0
Ift20	32.221626	36.659454	29.912268	26.829866
Col6a1	2.047799	0.763533	0	0.041136
Pcbp3	0	0.079547	0.485832	0.404724
Lgals9	238.31134	216.184143	199.71315	175.338287
Araf	20.295118	21.894009	32.858974	27.208355
Cfp	16.043699	9.440021	2.793098	1.554389
Timp1	2.045805	0.914385	0.564283	0.190371
Uxt	17.316	12.443336	16.317463	17.911564
Cnnm3	2.269073	1.740253	6.432565	8.102365
Lman2l	3.348559	2.579298	3.045594	3.297314
Mcm3ap	5.142001	4.607455	10.074921	10.698581
Pcnt	1.839684	1.395578	1.904744	2.670074
Ftcd	124.459412	131.84848	62.659805	60.904533
Mxd1	2.286395	1.319259	1.186375	1.097362
Gmcl1	2.758268	3.253943	8.168789	8.087458
Snrnp27	13.229685	16.048033	17.10972	15.432397
Oas1c	0.414787	0	0.636027	1.118255
Ocrl	1.459653	0.729292	2.688807	3.768984
Calm1	43.59174	83.566383	57.505871	61.464966
Agpat3	58.585381	61.205769	40.662201	36.478596
Sema6b	2.775956	2.222396	3.982749	4.694443
Uhrf1	0	0	1.155979	0.48517
Dpp9	23.629656	24.075766	29.912918	27.786352
Ramp2	5.836484	5.489924	6.241042	2.425381
Lsr	83.948967	71.828217	94.471252	78.479919
Gramd1a	5.35474	2.220827	7.558736	5.495876
Hpn	148.751816	146.141968	46.780479	41.219383
Ckb	1.784261	0.777854	0.442862	0.855027
Sp1	6.849778	6.188172	6.905436	9.295131
Itgb7	0	0	0.041408	0.030641
Myg1	8.566833	13.598337	20.391712	18.355955
Rarg	0.947735	0.307682	3.216754	2.529245
Pfdn5	29.950888	30.210089	43.980827	45.805218
Efnb2	0.644563	0.309051	0.366577	0.275617
Rrp15	11.487897	10.960261	27.773968	29.705427
Rnd2	3.670261	6.98222	3.120707	4.313573
Srr	18.232862	21.484968	4.607015	4.839414
Sync	0.080161	0	0.130684	0.332427
Fndc5	0.181406	0	0.060111	0.020347
Acp5	34.858398	37.304344	46.724075	45.107903
Cnn1	0	0	0.087366	0.117587
Fbxo9	27.0898	28.204901	10.668748	9.207994
Vps50	2.02342	2.985151	7.473126	7.203828
Hars	18.689201	19.963755	28.600466	26.214445
Zmat2	15.36121	14.025661	16.263798	16.744951
Ube2c	1.103198	0.230906	0.34351	0.708902
Smg5	9.801151	13.290991	40.379501	41.87709
Cct3	48.17226	47.448444	116.043236	121.873543
Glmp	11.927475	15.809235	37.717617	19.768127
Mef2d	6.303284	6.929052	29.01911	28.153971
Tmem79	0.162406	0.252328	2.112659	1.75738
Snd1	33.821217	53.864452	51.462238	47.033302
Col18a1	146.047958	126.515526	89.053894	71.127235
Slc19a1	4.711555	4.660161	17.984993	20.695732
Kpnb1	17.112494	17.759815	91.568916	97.414703
Npepps	5.981853	12.211735	18.632914	23.638927
Mrpl10	26.246269	24.232319	32.45805	29.856943
Cyp51	31.990845	29.153717	44.426373	41.396355
Tcf25	33.12915	36.76593	76.793381	56.05143
Tubb6	7.488087	6.033882	304.978027	362.896027
Def8	14.265774	15.414105	10.545285	9.294021
Meox1	0	0.136242	2.836205	2.14105
Col1a1	2.592844	0.593721	0	0.009481
Itga3	0.801246	0.248934	16.269632	16.108875
Foxm1	0.096969	0.043501	0.095206	0.261131
Itfg2	9.94199	7.676838	12.372108	13.671772
Nrip2	0.089911	0	0.241474	0.206922
Tulp3	0.940802	0.089966	0.388532	0.179264
Gtf2h4	11.428951	11.120909	12.070098	9.727551
Tubb5	13.019044	14.035549	265.455322	268.200531
Ell2	38.376724	32.233814	19.06613	21.793686
Jup	14.260907	11.103356	35.615475	35.323189
Fkbp10	0.077589	0	0.180058	0
Klhl10	0	0	0.082344	0.041989
Nom1	6.259761	2.785601	5.602065	5.161881
Ergic1	24.077358	21.043783	32.03297	28.2274
Tnk1	0	0	0.055354	0.127102
Acap1	0.449709	0.204204	0.037243	0.071039
Tcea3	16.804968	16.123436	36.065197	32.630741
Csn3	0	0	0.996069	1.391456
Ifrd1	10.427752	9.980474	63.839569	105.105751
Stk38l	5.226168	4.003517	36.207523	48.971382
Brpf1	4.826616	5.956766	7.591224	7.150545
Akr1b3	2.415463	2.161992	10.071451	8.539511
Gstt1	101.1716	152.633194	47.648098	53.505299
Gstt3	14.543917	40.888668	2.129582	2.631424
Ddt	235.562119	300.161133	100.287926	96.893112
Tat	1566.442749	933.435791	37.383675	41.781506
Marveld3	1.34269	0.875653	0.457596	0.325391
Ddx18	7.695795	8.515672	38.451019	42.023102
Ubl3	16.987469	20.932821	22.419384	21.638477
Gramd3	10.177977	11.630292	27.424877	26.342321
Eef1e1	8.621322	11.647444	29.11801	32.094917
Akt1	26.255056	31.402798	48.848797	46.455307
Cldn15	0.10541	0.106397	0.188671	0.324426
Il16	0.16231	0.274847	0.031576	0.070112
Tcirg1	17.879126	8.027331	24.59693	27.353783
Naglu	9.225759	7.792761	20.05442	19.089914
Coasy	42.742664	49.472404	30.347389	28.067589
Smo	1.857742	0.9586	5.516586	5.16198
Tspan33	3.450853	3.793504	4.877264	4.256887
Crnkl1	7.343755	8.960183	6.355392	8.383171
Rin2	2.065418	2.797887	2.54596	1.878153
Chordc1	9.662644	17.925234	9.719768	8.727314
Rtcb	25.954054	30.598667	75.837067	86.371063
Pwp1	6.820549	10.452365	34.122234	34.313026
Fbxo7	4.129422	4.174381	30.650074	30.665861
Capns1	43.159626	39.266705	137.74324	171.350113
Lrp3	4.883329	2.311445	12.777248	11.913622
Clpb	13.734782	16.24617	14.84821	16.610321
Sept7	13.614578	14.716146	17.510405	29.361881
Zdhhc4	10.675641	11.824218	17.827522	13.133669
Rac1	23.268326	21.888659	76.734566	72.109138
Nup214	4.413635	3.115882	8.283219	9.661922
Ltbp1	0.224484	0.151676	0.01657	0.016855
Ugp2	68.769623	81.286964	155.823517	161.80336
Trmt1	9.878465	14.628234	35.242268	38.068687
Nacc1	7.161744	4.923982	21.197008	21.071043
Nfix	13.646985	10.559603	35.367542	30.755949
Slc1a5	0.64282	0.359731	1.947001	2.193817
Uba1	50.252064	51.549561	105.559891	100.331734
Vwf	1.845741	3.416307	0	0.012702
Siae	7.440555	5.999895	4.302365	3.50834
Vsig2	0.299684	0.604983	0.141587	0.043855
Esam	8.12153	6.197394	1.045621	1.719518
Spa17	0.576117	0.241487	1.345922	1.249718
Fam50a	7.436217	9.353036	32.638252	34.712696
Emd	14.250373	7.934961	22.138075	28.869955
Taco1	11.79407	13.145304	13.168484	11.163288
Gria3	0.03851	0	0.580853	0.42564
Npas1	0	0	0.185374	0.043034
Sipa1l2	0.10489	0.211744	0.496471	0.429778
Ap4e1	1.026853	1.456889	3.785957	4.403839
Blvra	7.289025	8.52273	8.168569	11.682735
Pdzd4	0.050501	0	0.098525	0.21932
Srpk3	0	0.145584	0.094315	0
Idh3g	40.735195	40.575256	23.743671	27.245584
Pnck	0	0	0	0.065871
Ssr4	85.578773	62.584743	78.85041	76.892021
Bcap31	72.010986	70.498482	101.129791	105.629791
Fam98a	11.526906	16.473475	22.006311	21.824102
Ltbp2	0.103665	0	0.024046	0.058468
Kmt2a	1.462384	1.090281	4.62105	5.376433
Ift46	13.380039	12.312005	5.616776	7.50989
Tmem25	3.930633	3.091651	0.216022	0.213893
Cd3g	0	0.138759	0	0
Trappc6a	10.019318	12.52045	18.195007	17.772207
Supt6	13.067227	12.760307	17.494883	15.888141
Spag5	0.118166	0	0.781693	0.83909
Foxn1	0	0	0.086127	0.104662
Unc119	1.082464	1.87555	5.022439	5.321569
Rab34	2.611987	3.093283	12.385311	7.768094
Sdf2	20.66391	17.459003	20.55806	20.177078
Ccne1	0.499176	0.301485	6.684302	6.582214
Bbc3	2.485337	1.613595	8.160046	6.234134
Mybpc3	0	0	0.026597	0
Psmc3	85.505798	93.396446	75.941849	75.042732
Acp2	8.004084	8.014008	9.313119	7.326372
Rapsn	0	0	0.080703	0.029414
Slc39a13	4.341721	4.874202	10.02661	8.923238
Celf2	1.534474	1.458989	2.099306	2.660371
Nr1h3	37.569851	36.605305	29.002522	26.96953
Ddb2	0.5039	0.49801	1.931003	2.733188
Spi1	3.325007	2.801873	0.746256	0.459194
Sf3a1	6.863431	6.347872	12.546573	13.061827
Stat6	16.210829	12.732567	35.272232	34.484852
Clgn	0	0	0	0.014408
Napsa	0.63761	0	0	0
Vrk3	12.864273	12.084851	15.986898	17.371328
Smg9	5.366559	3.041605	14.23737	17.194527
Paxip1	4.449299	5.094779	10.647878	10.947597
Rmnd5a	27.076151	32.18306	10.431663	12.522128
Mov10	2.402971	1.329387	11.075745	9.475504
Ppm1j	0.244498	0	0.431423	0.630746
Rhoc	8.023611	3.293731	39.895329	50.809345
Tead3	2.398108	2.763277	2.725164	2.713997
Ppard	2.697281	1.02974	12.231824	11.198245
Def6	0	0	0	0.02469
Peg3	0.825034	0.781026	0.099215	0.142005
Zim1	0	0	0	0.021875
Metrn	1.314839	1.698331	1.344394	2.565466
Lmf1	14.61229	14.988489	20.897226	18.296406
Narfl	8.561591	8.009682	7.708363	6.864343
Angptl4	53.397888	67.498268	17.358501	17.828308
Dbf4	1.498852	0.683233	7.647997	6.864957
Daxx	5.905968	8.175209	23.598423	17.913673
Cd320	2.167763	1.781132	6.091014	3.683649
Ipo4	18.467323	29.308836	50.302242	47.604755
Tm9sf1	22.249681	24.779705	24.554546	21.437908
Rec8	0.304575	0.265573	0.41034	0.055762
Irf9	15.684335	12.002626	26.637682	32.360912
Gmpr2	5.573924	5.141668	15.878627	17.621964
Mdp1	5.025384	4.080957	7.684821	7.49312
Dhrs1	63.414139	68.976128	31.518391	35.9408
Tmem161a	10.048839	8.94285	9.788733	10.830596
Armc6	1.487535	6.196304	12.403312	12.962679
Borcs8	10.069031	11.726849	10.256586	7.48134
Slc25a42	21.704609	19.562637	3.168625	1.930851
Snx9	12.803462	15.563037	43.474648	45.872684
Ranbp3	8.747832	9.357721	24.992611	24.95999
Ndufa11	12.564284	12.923686	11.195645	9.741543
Bmp8b	0.101595	0.264828	19.877787	16.323187
Nr2f6	27.044369	20.41147	37.980618	36.712547
Use1	30.321888	32.803394	49.488018	47.798122
Ocel1	1.660813	3.937884	11.718473	9.475623
Dyrk1b	2.431715	1.355999	2.69462	3.560073
Braf	3.368069	4.47911	4.531872	3.991458
Ndufb2	57.650078	50.522499	19.147341	18.109867
Hltf	2.848932	4.419971	3.037461	4.087636
Prpf6	20.223629	23.715458	24.509647	24.341036
Rgs19	1.147672	0.553014	5.690157	4.675606
Rgs20	0	0	0.21089	0.600758
Abhd3	26.376263	23.121857	10.630821	9.928746
Snrpd1	8.543741	11.214217	38.996426	34.776962
Tchp	0.255857	0.137547	2.737997	3.369913
Tiam1	0	0.040987	0.022401	0.01503
Tsc2	6.440989	5.556328	7.723044	7.088171
Rpl3l	0	0	0.026475	0.061907
Slc9a3r2	7.361693	4.651534	3.814812	3.242051
Puf60	32.102512	35.646358	72.256508	76.375206
Golga2	13.230537	13.950933	17.037134	18.114592
Uck1	10.527402	18.836113	42.023087	39.202637
Ikzf4	0.465173	0.466271	0.202271	0.054582
Mien1	40.535416	38.103718	49.545399	45.566967
Pon1	239.238449	277.434021	156.686035	156.812241
Axl	9.259205	3.058337	0.235589	0.444168
Tgfb1	2.777493	3.165195	1.809746	1.51774
Ccdc97	10.71772	9.860564	13.741507	12.527477
Zfp40	0.580575	0.221947	0.35654	0.285421
Akap8l	7.629125	5.286311	8.40699	7.863064
Shh	0	0	0	0.052566
Pdcd2l	6.381585	6.209013	14.148294	16.721357
Gtf2f1	12.625128	17.162542	39.155487	38.616222
Clpp	29.805698	34.137791	54.410412	47.522118
Alkbh7	8.149029	6.683745	6.84807	5.456707
Pspn	0	0	0.301989	0.506791
Dennd1c	0.584515	0.266773	0.613448	0.735568
Med6	11.97353	11.231899	13.678318	17.145195
Lcp2	1.51302	0.38364	0.123163	0.251395
Cse1l	12.156862	9.463186	27.550325	18.677744
Naa20	10.920519	10.987998	38.736839	39.832863
Prkra	5.323656	4.489963	6.991682	6.869473
Fkbp7	2.3555	1.291803	0.848847	0.902787
Plekha3	7.538836	8.199827	12.046629	12.124355
Ykt6	25.684402	24.903482	58.197903	57.461529
Baz1b	14.136664	13.896968	14.248304	14.911901
Pex6	24.715799	21.973606	52.675007	46.423286
Mrpl2	23.960266	31.46195	34.669224	25.301016
Mea1	31.794744	31.799232	78.38623	68.825981
Gnmt	1266.109131	1467.713867	561.334595	518.779053
Grin2d	0	0	0.299354	0.467723
Kdelr1	41.388378	53.501732	51.368088	43.098858
Tmem143	8.512323	7.029819	5.93605	7.12832
Ggct	1.915769	4.433557	6.475392	3.734705
Jag2	0.039265	0.019817	0.716736	0.148352
Btbd6	1.177397	2.682214	3.496232	4.870513
Nudt14	5.129082	7.039173	4.802598	3.472831
Epdr1	0.127267	0.256919	3.23582	3.094651
Flii	11.204539	12.381261	51.99963	55.828873
Top3a	1.370726	0.782159	8.281627	8.714009
Atg4d	8.799777	6.418261	3.382593	4.959906
Qtrt1	1.365487	2.019891	12.460702	14.268204
Plin4	1.083732	1.222276	0.944425	1.50028
Hdgfrp2	10.638	9.015761	14.364713	12.804075
Chaf1a	0.150901	0.151065	1.951427	1.902015
Adprh	2.512346	2.092359	20.964499	22.057993
Tmem39a	24.577639	23.431973	6.389489	7.697838
Timmdc1	12.579596	13.988133	11.358852	9.681838
Pla1a	18.966227	18.323948	16.255966	14.732682
Mcm2	0.637984	0.373916	6.776481	6.507997
Tpra1	9.546267	11.653653	12.055346	7.670002
Nab1	14.955656	12.094071	16.442297	16.109175
Adgre5	10.42008	4.535036	0.322011	0.287201
Il17ra	8.457743	4.822216	11.070441	13.342592
Lamb1	2.22646	3.327415	0.068192	0.062058
Kcnn1	0.617229	0.371458	1.634988	0.539042
Arrdc2	2.111569	5.697627	2.970818	2.225412
Cd36	12.985	12.555814	0.504598	1.509576
Map2k7	9.639977	8.911514	9.899724	7.847199
Timm44	28.128193	26.424524	22.079538	20.261469
Ap2a2	13.806396	12.751211	49.607464	46.120876
Pnkp	11.181208	9.159528	19.339592	15.022116
Med25	16.398256	11.698635	19.99431	19.915609
Bcam	2.627404	0.413162	0.982451	1.470098
Clptm1	30.545017	19.471432	37.571266	29.601946
Relb	0.394409	0.370729	20.656103	21.704908
Tomm40	27.008064	27.882776	56.355984	46.274033
Apoe	12490.018555	12845.817383	4870.311035	4544.945801
Apoc2	177.792664	188.574783	65.187546	6.620084
Hbp1	24.887943	29.138866	71.102531	79.732094
Cdkn1b	6.842463	7.671624	7.462002	7.011137
Klf4	0.429952	0.864436	2.953795	4.480758
Ap1m1	10.04782	10.559005	29.966116	28.547323
Rab8a	13.620873	15.063226	11.280333	10.727469
Hmgn2	10.229076	9.881748	18.248537	21.796053
Fam32a	13.957656	12.747575	26.186256	26.547112
Elf3	0.189444	0.289785	1.647821	1.933109
Cyp2c29	1087.104126	1269.214844	140.437057	142.342072
Stard3nl	6.717236	5.719566	16.522387	20.402613
Stk11	31.148693	22.913015	28.568216	26.406366
Efna2	0	0	0.051959	0.026382
Atp5d	171.831985	171.2314	119.941437	98.592773
Ppp5c	18.846561	15.072379	20.178467	21.768167
Cdk12	7.11752	5.895378	9.3501	10.185734
Lipe	5.302883	2.889167	3.643375	2.591003
Pafah1b2	5.097836	5.080769	21.001789	13.059007
Tbc1d8	5.8899	7.328001	3.978814	2.617416
Cnot11	4.294134	5.607409	14.748912	16.162609
Slc2a3	0.224406	0.031703	0	0.017892
Foxj2	1.49166	0.991245	6.54299	5.97502
Sri	19.540176	18.694279	32.291061	27.691477
Dgcr2	16.302845	16.523022	16.144102	17.187544
Irf3	21.473555	31.181242	31.822119	33.433353
Bcl2l12	1.540278	0.90094	7.028314	6.22598
Zfp959	1.802184	2.526528	1.183412	1.808943
Mpnd	38.513489	38.728939	21.99029	17.534048
Sh3gl1	7.34989	7.029055	29.151459	27.145004
Ebi3	0	0	0.410407	0.249546
Ccdc94	3.997981	3.087984	5.784195	6.720658
Ranbp2	18.154455	19.780926	12.798059	12.116754
Grk5	0.742371	0.987791	4.539775	5.408034
Dvl3	8.339219	6.79744	16.064173	17.481747
Abcf3	25.94726	29.359907	21.131062	19.483845
Eif2b5	10.475597	12.707075	33.104214	33.284073
Cyth2	13.222731	13.739377	41.545547	33.035595
Car11	0	0	0.034929	0.068575
Dlgap1	0.083281	0.168121	0.325231	0.249101
Plag1	0	0	0	0.01322
Hck	2.102525	1.914419	0.674476	0.509526
Mrpl4	15.714316	12.361309	9.933564	8.421712
Keap1	12.687917	13.120015	29.07168	27.777861
Glg1	6.867506	6.699336	26.575134	27.870537
Btbd2	5.299723	4.947915	7.91414	3.65122
Csnk1g2	32.721611	32.27964	40.762066	39.61404
Abhd17a	19.199369	27.40827	30.683733	40.49218
Mob3a	1.194531	0.226361	7.976568	9.076328
Cacnb3	0	0	0.445708	0.269167
Ccdc65	0	0	0	0.018633
Fkbp11	21.868561	20.490049	27.898935	25.998814
Ddx23	19.888004	17.32143	45.975235	44.53994
Pld3	7.720946	14.150766	17.169777	17.207182
Grik5	0.685126	1.527645	0.746039	0.870421
Cd79a	0	0	0.063076	0.108996
Rabac1	40.49918	55.541031	253.212601	259.42569
Etv3	2.547665	2.292169	4.620201	5.032403
Prkcsh	44.095856	46.822117	89.285553	76.816742
Elavl3	0	0	0.01053	3.7e-05
Rab3b	0	0	0.016418	0.016898
Fcgrt	68.11438	64.943024	41.127911	35.566696
Nosip	14.536732	12.819804	25.980658	18.101341
Pih1d1	23.564363	22.066769	57.12611	53.123589
Rps11	155.706009	196.362518	576.3573	580.525757
Supt5	21.128506	27.281548	42.848534	40.244507
Dll3	0	0	0	0.024723
Paf1	25.785631	34.755665	17.95553	21.94916
Timm50	21.627468	19.997843	51.221222	54.719486
Med29	7.29287	8.28001	22.378624	19.631174
Bicd1	0.002559	0	0	0.016852
Ncstn	19.003246	16.125408	20.67865	21.341406
Pex19	68.25325	71.451004	32.837738	29.451893
Phyhip	0	0	0.039015	0.079239
Crhr2	0	0	0.069726	0
Inmt	222.496506	275.85556	69.558083	66.756927
Cyp4f18	0	0	0.032528	0.066063
Impdh1	1.13803	0.271621	12.863029	12.18734
Dusp3	10.715029	11.13184	30.487814	30.27702
Prodh	66.379402	72.239655	26.611479	27.218964
Dgcr14	1.375965	1.875242	5.96689	7.041879
Slc25a1	127.653992	130.728439	178.291611	150.224594
Dgcr6	22.151114	18.720207	28.651724	17.963945
Ddr1	0.360684	0.260652	6.485039	8.759089
Ier3	2.91405	1.519054	28.995338	31.070562
Fosb	0.215974	0.027881	0.426792	0.582318
Klc4	25.539959	26.336754	8.656476	6.719149
Ercc1	4.190686	2.84388	6.984921	10.306657
Cyp17a1	4.019902	7.250034	0.967913	2.04857
As3mt	16.875843	25.093277	9.216949	10.519211
Homer3	0.317409	0.877313	6.539749	5.822328
Crtc1	0.800648	0.60881	6.346642	4.793128
Rnf215	2.813198	4.465018	7.626037	9.02233
Sec14l2	187.621826	147.098099	18.071005	14.758584
Aven	2.709018	3.468972	4.46234	4.107298
Cp	359.1026	328.460846	169.60321	142.822159
Crot	177.804245	129.202866	40.160152	41.542877
Rps6ka1	2.656682	2.206933	16.642199	14.282052
Snrnp200	16.887705	20.292479	26.202028	28.768087
Ciao1	12.58564	13.833935	9.757274	8.325918
Has1	0	0.096826	0.026401	0
Taf6l	8.367134	9.589087	16.319979	19.167324
Insig2	219.747162	175.350662	44.4049	47.087002
Kpna6	11.173092	10.102228	15.746203	14.822263
Man1a	62.156849	62.828438	27.724146	27.004187
Itpkc	2.074184	1.782936	11.29743	10.49404
Coq8b	12.813007	13.384629	12.258847	10.042881
Brd8	3.970183	3.7361	8.507275	10.523115
Kif20a	0.488941	0.344804	1.376912	1.347601
Farsa	11.112823	11.143644	17.89731	13.873965
Gcdh	236.784698	328.192169	50.297077	47.528908
Mast2	6.018424	7.110359	24.792631	23.46022
Dnase2a	6.493641	6.112786	12.897053	12.57994
Rad23a	19.41581	17.748013	32.85236	28.187235
Calr	416.78833	474.37323	134.680252	121.058411
